name,englishName,minPlayers,maxPlayers,minPlayTime,maxPlayTime,rating,ratingCount,learningComplexity,strategyComplexity,complexityVotes,isExpansion,code,atlasID,atlasURL,thumbnail,
パンデミック,Pandemic,2,4,45,60,3.803210819,989,2.5,2.4,10,FALSE,681706070216,6FmFeux5xH,https://www.boardgameatlas.com/game/6FmFeux5xH/pandemic,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254186140-51iNoyxoamL.jpg,
カタンの開拓者たち,Catan,3,4,45,90,3.246445347,911,2.090909091,2.545454545,11,FALSE,4543471001535,OIXt3DmJU0,https://www.boardgameatlas.com/game/OIXt3DmJU0/catan,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629324722072.jpg,
コードネーム,Codenames,2,8,15,15,3.665360728,889,1.1,2.2,10,FALSE,4981932022284,GP7Y2xOUzj,https://www.boardgameatlas.com/game/GP7Y2xOUzj/codenames,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1594677202222,
カルカソンヌ,Carcassonne,2,5,30,45,3.735916856,878,1.5,3,16,FALSE,4001504481254,oGVgRSAKwX,https://www.boardgameatlas.com/game/oGVgRSAKwX/carcassonne,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1634417910623,
7 Wonders,7 Wonders,2,7,30,45,3.855616279,860,2.75,2.583333333,12,FALSE,5425016920558,OF145SrX44,https://www.boardgameatlas.com/game/OF145SrX44/7-wonders,https://s3-us-west-1.amazonaws.com/5cc.images/games/userfiles/1678647080592-7wonders-masked.png,
宝石の煌き Splendor,Splendor,2,4,30,60,3.70165195,795,1.833333333,3,6,FALSE,3558380021537,O0G8z5Wgz1,https://www.boardgameatlas.com/game/O0G8z5Wgz1/splendor,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254164722-51AHDwGznvL.jpg,
Ticket to ride,Ticket to Ride,2,5,45,90,3.568011984,785,1.888888889,2.222222222,9,FALSE,9780975277324,AuBvbISHR6,https://www.boardgameatlas.com/game/AuBvbISHR6/ticket-to-ride,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629324738308.jpg,
サイズ -大鎌戦役-,Scythe,1,5,90,120,4.219873684,760,3.117647059,3.235294118,17,FALSE,4542325313121,yqR4PtpO8X,https://www.boardgameatlas.com/game/yqR4PtpO8X/scythe,https://cdn.shopify.com/s/files/1/0513/4077/1515/products/scythe-board-game.jpg?v=1611090922,
世界の七不思議デュエル,7 Wonders Duel,2,2,30,45,4.062049581,716,2.444444444,2.666666667,9,FALSE,5425016924273,j8LdPFmePE,https://www.boardgameatlas.com/game/j8LdPFmePE/7-wonders-duel,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629323024736.jpg,
テラフォーミング・マーズ,Terraforming Mars,1,5,90,120,4.148032117,711,3,3.3,10,FALSE,4542325315200,fDn9rQjH9O,https://www.boardgameatlas.com/game/fDn9rQjH9O/terraforming-mars,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629324032557.jpg,
スモールワールド,Small World,2,5,40,80,3.40703998,590,2,2.333333333,3,FALSE,824968726013,8UmzC1ZGGE,https://www.boardgameatlas.com/game/8UmzC1ZGGE/small-world,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254992240-511JJsfrrNL.jpg,
禁断の島 Forbidden Island,Forbidden Island,2,4,30,45,3.457892675,587,1.666666667,2,6,FALSE,759751003173,4rn2FX1Eon,https://www.boardgameatlas.com/game/4rn2FX1Eon/forbidden-island,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629323006480.jpg,
キングドミノ,Kingdomino,2,4,15,20,3.594033081,566,1,2,3,FALSE,4560450500438,BBg2uXXdB8,https://www.boardgameatlas.com/game/BBg2uXXdB8/kingdomino,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254188772-515tbFJ5C8L.jpg,
ドミニオン,Dominion,2,4,30,30,3.974460326,517,3,3,1,FALSE,4981932020457,VO7TAxQ5Qn,https://www.boardgameatlas.com/game/VO7TAxQ5Qn/dominion,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254200326-6135RVKbZZL.jpg,
DiXit,Dixit,3,6,30,42,3.418888605,502,1.333333333,2,3,FALSE,3558380011743,H3yXWu5No0,https://www.boardgameatlas.com/game/H3yXWu5No0/dixit,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629320890677.jpg,
プエルトリコ,Puerto Rico,2,5,90,150,3.757126289,485,3,4,2,FALSE,4005556269075,k7pnwdyDfC,https://www.boardgameatlas.com/game/k7pnwdyDfC/puerto-rico,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559255812091-51jb0LuMmEL.jpg,
Race For The Galaxy,Race for the Galaxy,2,4,30,60,3.818611463,481,3.5,4,2,FALSE,655132003018,E4ELA8cG85,https://www.boardgameatlas.com/game/E4ELA8cG85/race-for-the-galaxy,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629322825257.png,
サグラダ,Sagrada,1,4,20,40,3.67902996,450,2,2.857142857,7,FALSE,728028379730,mJr3oebP6p,https://www.boardgameatlas.com/game/mJr3oebP6p/sagrada,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254943589-61wqSdWtkHL.jpg,
コンコルディア,Concordia,2,5,90,120,4.235863636,440,2.6,3.4,5,FALSE,655132004992,FCuXPSfhDR,https://www.boardgameatlas.com/game/FCuXPSfhDR/concordia,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629323022645.jpg,
